Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Le messager européen . 9 .  ;Collectif ;Le messager européen . 9 . [Mémoire juive, mémoire polonaise . Guerre et paix en Bosnie . La querelle de la modernité . Un inédit de Cioran [Texte imprimé] / [sous la direction d'Alain Finkielkraut];Livre ([Paris] : Gallimard, impr. 1996);Nation   Europe -- 20e siècle   Shoah -- Pologne  et autres;"Le messager européen ; 9";;Français;2-07-074517-1 ;9782070745173 ;
Nietzsche im Exil : Übergänge in gegenwärtiges Denken ;Collectif ;Nietzsche im Exil : Übergänge in gegenwärtiges Denken / hrsg. im Auftrag der Stiftung Weimarer Klassik, Kolleg Friedrich Nietzsche von Rüdiger Schmidt-Grépály und Steffen Dietzsch;Livre (Weimar : H. Böhlaus Nachfolger, 2001, cop. 2001);Nietzsche, Friedrich   Influence -- 1844-1900 ;;;Allemand;3-7400-1157-2  et autres;9783740011574  et autres;
Dix thèses sur le stalinisme  ;Collectif ;"Dix thèses sur le stalinisme [Texte imprimé] / adoptées par le 7ème congrès national du Parti Communiste Internationaliste, juillet 1951 ; vertissement de Favre-Bleibtreu";Livre (Paris : Société de Presse, d'Editions et de Librairie, 1953);;;;Français;;;
Days with Sir Roger de Coverley  : a reprint from the Spectator ;Collectif ;Days with Sir Roger de Coverley [Texte imprimé] : a reprint from the Spectator / with illustrations by Hugh Thomson;"Livre (London ; New York : Macmillan, 1892)";;;3e éd.;Anglais;;;
Contes et fables des veillées ;Collectif ;Contes et fables des veillées / [recueillis], traduits et édités par Christiane Seydou;"Livre (Paris(50, B de Port-Royal, 75005) : Nubia, 1976 ;  80-Abbeville :  impr. F. Paillart)";Contes africains ;"Collection Kocc-Barma Faal ; 1";;Français;2-85586-003-2 ;9782855860039 ;
"""Sur une génération perdue"" : études, textes et documents sur les écrivains bordelais et girondins du début du XXe siècle ";Collectif ;"""Sur une génération perdue"" : études, textes et documents sur les écrivains bordelais et girondins du début du XXe siècle / [Ed.] Michel Suffran";Livre (Bordeaux : Samie, 1966);Littérature française   Anthologies   Bordeaux (Gironde)  et autres;;;Français;;;
Introduction à la psychologie sociale . 2  ;Collectif ;Introduction à la psychologie sociale . 2 [Texte imprimé] / sous la direction de Serge Moscovici, ...;"Livre (Paris : Larousse, DL 1972 ;  92-Montrouge :  impr. Larousse)";Psychologie sociale ;Sciences humaines et sociales;;Français;2-03-070366-4 ;9782030703663 ;
Récits et contes populaires des Cévennes . 1 . Dans les vallées des Gardons  = Racontes e contes de las Cevenas ;Collectif ;Récits et contes populaires des Cévennes . 1 . Dans les vallées des Gardons [Texte imprimé] = Racontes e contes de las Cevenas / recueillis par Jean-Noël et Nicole Pelen;"Livre ([Paris] : Gallimard, 1978 ;  45-Malesherbes :  impr. Maury)";"Folklore   Contes   Cévennes (France ; massif)  et autres";"Récits et contes populaires des Cévennes ; 1 .- Récits et contes populaires";;"Français; Occitan (après 1500)";;;
Henri Desroche  : témoignages et maï?eutique ;Collectif ;Henri Desroche [Texte imprimé] : témoignages et maï?eutique / sous la dir. d'Emile Poulat et Claude Ravelet;Livre (Saint-Paul-de-Fourques : Bastidiana, 1997);Desroche, Henri -- 1914-1994 ;;;Français;;;
Copán  : the history of an ancient Maya Kingdom ;Collectif ;Copán [Texte imprimé] : the history of an ancient Maya Kingdom / edited by E. Wyllys Andrews and William L. Fash;"Livre (Santa Fe : School of American Research Press ; Oxford : James Currey, 2005, cop. 2005)";Architecture maya   Cosmologie maya   Mayas  et autres;School of American Research advanced seminar series;;Anglais;1-930618-37-9  et autres;9781930618374  et autres;
