Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Histoire de la libération de la France : juin 1944-mai 1945 ;Aron , Robert ;Histoire de la libération de la France : juin 1944-mai 1945 / Robert Aron;Aron , Robert (Paris : Librairie A. Fayard, DL 1959);Guerre mondiale (1939-1945) -- Campagnes et batailles -- France   France -- 1944-1945 (Libération) ;Les Grandes études contemporaines;;Français;;;
Lettre aux militants communistes espagnols  : songe et mensonge de l'eurocommunisme = Carta a los militantes comunistas españoles = sueño y mentira del eurocomunismo ;Arrabal , Fernando ;"Lettre aux militants communistes espagnols [Texte imprimé] : songe et mensonge de l'eurocommunisme = Carta a los militantes comunistas españoles = sueño y mentira del eurocomunismo / Arrabal ; [traduit par Dominique Sevrain]";"Arrabal , Fernando (Paris : C. Bourgois, 1978 ;  27-Évreux :  Impr. SIMPED)";Partido comunista de España ;"Collection Poche Bourgois ; 20";;"Français; Espagnol";2-267-00117-9 ;9782267001174 ;
L'horloge sans balancier  : apologue en forme de roman ;Arrivé , Michel ;L'horloge sans balancier [Texte imprimé] : apologue en forme de roman / Michel Arrivé;Arrivé , Michel ([France] : Flammarion, c1983);;;;Français;2-08-064582-X ;9782080645821 ;
Les remembrances du vieillard idiot, d'Alfred Hellequin, avec des fragments de la biographie d'Adolphe Ripotois et de ses oeuvres inédites  : roman ;Arrivé , Michel ;Les remembrances du vieillard idiot, d'Alfred Hellequin, avec des fragments de la biographie d'Adolphe Ripotois et de ses oeuvres inédites [Texte imprimé] : roman / Michel Arrivé;Arrivé , Michel (Paris : Flammarion, 1977);;;;Français;2-08-064002-X ;9782080640024 ;
L'anarchisme au XXe siècle  ;Arvon , Henri ;L'anarchisme au XXe siècle [Texte imprimé] / Henri Arvon;"Arvon , Henri (Paris : Presses universitaires de France, 1979 ;  41-Vendôme :  Impr. des PUF)";Anarchisme   20e siècle ;"L'Historien ; 38";;Français;2-13-035788-1 ;9782130357889 ;
"En marge : l'Occident et ses ""autres"" ";Asor Rosa , Alberto ;"En marge : l'Occident et ses ""autres"" / Alberto Asor Rosa, François Châtelet, Roger Dadoun... [et al.]";Asor Rosa , Alberto (Paris : Aubier Montaigne, impr. 1978, cop. 1978);Histoire sociale -- 20e siècle   Civilisation moderne ;Présence et pensée;;Français;2-7007-0117-8  et autres;9782700701173  et autres;
Printemps palestinien : expositions photographiques 1997 ;Association française d'action artistique ;"Printemps palestinien : expositions photographiques 1997 / catalogue réalisé sous la direction de Michket Krifa ; AFAA";Association française d'action artistique (Paris, France) ([Paris] : Editions Sand : Editions Eric Koehler, DL 1997);École biblique et archéologique française -- Jérusalem   Territoires occupés   Réfugiés palestiniens  et autres;;;Français;978-2-7107-0604-5  et autres;978-2-7107-0604-5  et autres;
Structures sociales et démocratie économique : IIIe colloque : Genève, 2-3 et 4 mai 1960 ;Association internationale des sociologues de langue française ;Structures sociales et démocratie économique : IIIe colloque : Genève, 2-3 et 4 mai 1960 / Association internationale des sociologues de langue française;Association internationale des sociologues de langue française (Bruxelles : Institut de sociologie, 1961);Problèmes sociaux   Politique économique   Structure sociale  et autres;;;Français;;;
Freud et Nietzsche  ;Assoun , Paul-Laurent ;Freud et Nietzsche [Texte imprimé] / Paul-Laurent Assoun;"Assoun , Paul-Laurent (Paris : Presses universitaires de France, impr. 1980 ;  41-Vendôme :  Impr. des PUF)";Freud, Sigmund   Nietzsche, Friedrich   Critique et interprétation -- 1844-1900 -- Critique et interprétation -- 1856-1939 ;Philosophie d'aujourd'hui;;Français;2-13-037825-0  et autres;9782130378259  et autres;
Marx et la répétition historique  ;Assoun , Paul-Laurent ;Marx et la répétition historique [Texte imprimé] / Paul-Laurent Assoun;"Assoun , Paul-Laurent ([Paris] : Presses universitaires de France, 1978 ;  41-Vendôme :  Impr. des PUF)";Marx, Karl   Marxisme   Matérialisme historique -- Pensée politique et sociale -- 1818-1883 ;Philosophie d'aujourd'hui;;Français;2-13-035167-0 ;9782130351672 ;
Introduction à l'épistémologie freudienne ;Assoun , Paul-Laurent ;Introduction à l'épistémologie freudienne / Paul-Laurent Assoun;Assoun , Paul-Laurent (Paris : Payot, 1981);Freud, Sigmund   Psychoanalysis   Théorie de la connaissance  et autres;"Collection Science de l'homme ; 112";;Français;2-228-22160-0 ;9782228221603 ;
Introduction à la métapsychologie freudienne  ;Assoun , Paul-Laurent ;Introduction à la métapsychologie freudienne [Texte imprimé] / Paul-Laurent Assoun;"Assoun , Paul-Laurent (Paris : Presses universitaires de France, impr. 1993 ;  41-Vendôme :  Impr. des PUF)";Freud, Sigmund   Psychanalyse   Métapsychologie -- 1856-1939 ;"Quadrige ; 151";;Français;2-13-045248-5 ;9782130452485 ;
Thèmes et structures dans l'œuvre de John Dos Passos  . 2 : procès d'une Amérique ;Astre , Georges-Albert ;Thèmes et structures dans l'œuvre de John Dos Passos [Texte imprimé] . 2 : procès d'une Amérique / Georges-Albert Astre;Astre , Georges-Albert (Paris : Lettres modernes, 1958);Dos Passos, John -- 1896-1970 ;"Les Cahiers des lettres modernes . Collection ""Thèmes et structures ; no 2";;Français;;;
Thèmes et structures dans l'oeuvre de John Dos Passos .  ;Astre , Georges-Albert ;Thèmes et structures dans l'oeuvre de John Dos Passos . [1] [Texte imprimé] / Georges-Albert Astre;Astre , Georges-Albert (Paris. : Lettres modernes, 1956);Dos Passos, John   Critique et interprétation -- 1896-1970 ;"Collection Thèmes et structures ; 1";;Français;;;
Quand la chouette s'envole  ;Astruc , Alexandre ;Quand la chouette s'envole [Texte imprimé] / Alexandre Astruc;Astruc , Alexandre ([Paris] : Gallimard, 1979);;;;Français;;;
Du stylo à la caméra et de la caméra au stylo  : écrits, 1942-1984 ;Astruc , Alexandre ;"Du stylo à la caméra et de la caméra au stylo [Texte imprimé] : écrits, 1942-1984 / Alexandre Astruc ; préf. de Philippe d'Hugues";"Astruc , Alexandre (Paris : l'Archipel, 1992 ;  18-Saint-Amand-Montrond :  Impr. BCA)";Critique cinématographique   France   Cinéma -- Histoire et critique ;;;Français;2-909241-24-6 ;9782909241241 ;
La flaque du mendiant  ;Asturias , Miguel Ángel ;"La flaque du mendiant [Texte imprimé] / Miguel Angel Asturias ; traduit de l'espagnol par Dominique Eluard et Alaïde Foppa";Asturias , Miguel Ángel (Paris : Albin Michel, cop. 1966);;Les grandes traductions;;Français;;;
Les Messies, ou le Mal de terre  ;Atlan , Liliane ;Les Messies, ou le Mal de terre [Texte imprimé] / Liliane Atlan;"Atlan , Liliane (Paris : Éd. du Seuil, 1969 ;  Saint-Amand (Cher) :  Impr. Bussière)";;"Théatre ; 17";;Français;;;
La petite voiture de flammes et de voix  ;Atlan , Liliane ;La petite voiture de flammes et de voix [Texte imprimé] / Liliane Atlan;"Atlan , Liliane (Paris : Éd. du Seuil, 1971 ;  Saint-Amand (Cher) :  Impr. Bussière)";;"Théâtre ; 32";;Français;;;
L'Antagonistel  : roman-scénario en cinq épisodes ;Attal , Jean-Pierre ;L'Antagonistel [Texte imprimé] : roman-scénario en cinq épisodes / Jean-Pierre Attal;Attal , Jean-Pierre (Paris : Gallimard, 1967);;Le Chemin;;Français;;;
Bruits  : essai sur l'économie politique de la musique ;Attali , Jacques ;Bruits [Texte imprimé] : essai sur l'économie politique de la musique / Jacques Attali;Attali , Jacques ([Paris] : Presses universitaires de France, impr. 1977);Politique musicale   Musique -- Aspect social   Musique -- Histoire et critique  et autres;;;Français;;;
Jérusalem 1099  : Essai ;Aubé , Pierre ;Jérusalem 1099 [Texte imprimé] : Essai / Pierre Aubé;Aubé , Pierre (Arles : Actes Sud, 1999);Croisades -- 1re croisade (1096-1099)   Jérusalem -- Histoire   Sources  et autres;Un endroit où aller;;Français;2-7427-2165-7 ;9782742721658 ;
Le Chercheur de trésors ou l'Influence d'un livre ;Aubert de Gaspé , Philippe ;Le Chercheur de trésors ou l'Influence d'un livre / Philippe-Aubert de Gaspé;Aubert de Gaspé , Philippe ([Montréal] : Réédition-Québec, 1968);Roman canadien de langue française ;;;Français;0-88515-043-0 ;9780885150434 ;
Juifs et Canadiens : deuxième cahier du cercle juif de langue française ;Aubery , Pierre , historien ;"Juifs et Canadiens : deuxième cahier du cercle juif de langue française / Pierre Aubery, Paul Doucet, Jacques Lazarus... [et al.] ; ouvrage publié sous la direction de Naim Kattan";"Aubery , Pierre , historien (Montréal : Éditions du jour ; C 1967)";;"Collection Les Idées du jour ; 27";;Français;;;
Le Mana quotidien : structures et fonctions de la chronique des faits divers Le double imaginaire de la modernite dans la vie quotidienne ;Auclair , Georges ;Le Mana quotidien : structures et fonctions de la chronique des faits divers Le double imaginaire de la modernite dans la vie quotidienne / Georges Auclair;Auclair , Georges (Paris : Anthropos, DL 1982);Faits divers   Sociologie   Symbolisme -- Aspect psychologique  et autres;;"Nouvelle édition préfacée par l'auteur et suivie d'un essai ""Le double imaginaire de la modernite dans la vie quotidienne""";Français;2-7157-1059-3 ;9782715710597 ;
Enfances et mort de García Lorca ;Auclair , Marcelle ;Enfances et mort de García Lorca / Marcelle Auclair;Auclair , Marcelle (Paris : Éditions du Seuil, DL 1968);García Lorca, Federico   Littérature espagnole -- 20e siècle   Histoire et critique -- Biographies -- 1898-1936 ;;;Français;;;
Mémoires à deux voix  ;Auclair , Marcelle ;Mémoires à deux voix [Texte imprimé] / Marcelle Auclair, Françoise Prévost;"Auclair , Marcelle (Paris : Éditions du Seuil, 1978 ;  27-Évreux :  impr. Hérissey)";;;;Français;2-02-004872-8 ;9782020048729 ;
Les fêtes solaires  : essai sur la religion primitive ;Audin , Amable ;Les fêtes solaires [Texte imprimé] : essai sur la religion primitive / par A. Audin;Audin , Amable (Paris : Presses universitaires de France, 1945);Soleil -- Aspect religieux   Religion primitive   Culte ;"Mythes et religions ; 15";[1ère édition];Français;;;
Marie en quelques mots  ;Audouard , Antoine ;Marie en quelques mots [Texte imprimé] / Antoine Audouard;Audouard , Antoine ([Paris] : Gallimard, 1977);;;;Français;;;
Les militants et leurs morales  ;Audry , Colette ;Les militants et leurs morales [Texte imprimé] / Colette Audry;"Audry , Colette ([Paris] : Flammarion, 1976 ;  27-Mesnil-sur-l'Estrée :  impr. Firmin Didot)";Morale politique ;La rose au poing;;Français;2-08-060912-2 ;9782080609120 ;
La Lève  ;Audureau , Jean ;La Lève [Texte imprimé] / Jean Audureau;"Audureau , Jean (Paris : Gallimard, impr. 1975 ;  Mayenne :  Impr. Floch)";;Le manteau d'Arlequin;;Français;;;
Mimésis  : la représentation de la réalité dans la littérature occidentale ;Auerbach , Erich ;"Mimésis [Texte imprimé] : la représentation de la réalité dans la littérature occidentale / Erich Auerbach ; traduit de l'allemand par Cornélius Heim";"Auerbach , Erich (Paris : Gallimard, DL 1977 ;  27-Mesnil-sur-l'Estrée :  Impr. Firmin-Didot)";Histoire et critique   Représentation (littérature)   Réalité -- Dans la littérature  et autres;"Collection Tel ; 14";;Français;978-2-07-029612-5  et autres;978-2-07-029612-5  et autres;
Théorie des pouvoirs et idéologie : étude de cas en Côte d'Ivoire ;Augé , Marc ;Théorie des pouvoirs et idéologie : étude de cas en Côte d'Ivoire / Marc Augé;"Augé , Marc (Paris : Hermann, DL 1975 ; Paris : impr. Grou-Radenez)";"Ethnologie -- Côte d&apos;Ivoire   Changement social   Pouvoir (sciences sociales)  et autres";"Collection Savoir ; 11";;Français;2-7056-5790-8 ;9782705657901 ;
Prophétisme et thérapeutique  : Albert Atcho et la communauté de Bregbo ;Augé , Marc ;"Prophétisme et thérapeutique [Texte imprimé] : Albert Atcho et la communauté de Bregbo / de Marc Augé, René Bureau, Colette Piault, ...[et al.] ; publié sous la direction de Colette Piault";"Augé , Marc (Paris : Hermann, DL 1975 ;  86-Ligugé :  impr. Aubin)";Communauté thérapeutique   Prophètes   Guérisseurs  et autres;Collection Savoir;;Français;2-7056-5789-4 ;9782705657895 ;
Le vieillard et l'enfant  ;Augiéras , François ;Le vieillard et l'enfant [Texte imprimé] / Abdallah Chaanba;Augiéras , François ([S.l.] : [s.n.], [ca.1950]);;;version intégrale;Français;;;
Pas à pas  : essai sur le cheminement quotidien en milieu urbain ;Augoyard , Jean-François ;Pas à pas [Texte imprimé] : essai sur le cheminement quotidien en milieu urbain / Jean-François Augoyard;"Augoyard , Jean-François (Paris : Éditions du Seuil, DL 1979 ;  27-Évreux :  impr. Hérissey)";Villes   Communautés urbaines   Urbanisme  et autres;Espacements;;Français;2-02-005170-2 ;9782020051705 ;
Le double et la métamorphose  : l'identification mythique dans le candomblé brésilien ;Augras , Monique ;"Le double et la métamorphose [Texte imprimé] : l'identification mythique dans le candomblé brésilien / Monique Augras ; traduit du brésilien par l'auteur";"Augras , Monique (Paris : Méridiens Klincksieck, 1992 ;  58-Clamecy :  Impr. Labbalery)";Umbanda   Dieux umbanda   Candomblé  et autres;Sociologies au quotidien;;Français;2-86563-305-5 ;9782865633050 ;
La mort sans phrase ;Autrand , Charles ;La mort sans phrase / par Charles Autrand;Autrand , Charles (Paris : Le Soleil noir, DL 1968);;"Les Cahiers noirs du soleil ; 2";;Français;;;
... Et tout le reste n'est rien  : la religieuse portugaise : avec le texte de ses lettres ;Aveline , Claude ;... Et tout le reste n'est rien [Texte imprimé] : la religieuse portugaise : avec le texte de ses lettres / Claude Aveline;Aveline , Claude (Paris : Mercure de France, 1951);Lettres portugaises   Appréciation ;;;Français;;;
L'Été de la Saint-Valentin  ;Avril , Nicole ;L'Été de la Saint-Valentin [Texte imprimé] / Nicole Avril;"Avril , Nicole (Paris : J-J. Pauvert, 1972 ;  59-Condé-sur-l'Escaut :  impr. C. Descamps)";;;;Français;;;
Le jardin des absents  : roman ;Avril , Nicole ;Le jardin des absents [Texte imprimé] : roman / Nicole Avril;Avril , Nicole ([Paris] : A. Michel, 1977);;;;Français;2-226-00509-9 ;9782226005090 ;
Les gens de Misar  : roman ;Avril , Nicole ;Les gens de Misar [Texte imprimé] : roman / Nicole Avril;Avril , Nicole (Paris : Éditions Albin Michel, c1972);;;;Français;;;
Horizons du monde  ;Axelos , Kostas ;Horizons du monde [Texte imprimé] / Kostas Axelos;Axelos , Kostas (Paris : Éditions de Minuit, impr. 1974, cop. 1974);Philosophie ;Arguments;;Français;2-7073-0011-X ;9782707300119 ;
Arguments d'une recherche  ;Axelos , Kostas ;Arguments d'une recherche [Texte imprimé] / Kostas Axelos;Axelos , Kostas (Paris : Ed. de Minuit, impr.1969, cop. 1969);Philosophie ;"Arguments ; 40";;Français;;;
L'Arche ensevelie  : roman ;Axelrad , Édouard ;L'Arche ensevelie [Texte imprimé] : roman / Édouard Axelrad;"Axelrad , Édouard (Paris : R. Julliard, 1959 ;  Mesnil-sur-l'Estrée :  impr. Firmin-Didot et Cie)";;;;Français;;;
La calligraphie arabe  ;Aziza , Mohamed ;"La calligraphie arabe [Texte imprimé] / Mohamed Aziza ; préf. d'Etiemble";Aziza , Mohamed (Tunis : Société tunisienne de diffusion, cop. 1973);Calligraphie arabe   Arabe (langue)   Calligraphie  et autres;"Collection Esthétique et civilisation ; 1";;Français;;;
Amkoullel, l'enfant Peul  : mémoires ;Bâ , Amadou Hampâté ;Amkoullel, l'enfant Peul [Texte imprimé] : mémoires / Amadou Hampâté Bâ;"Bâ , Amadou Hampâté (Arles : Actes Sud ; Paris : Agence de coopération culturelle et technique, impr. 1991 ;  53-Mayenne :  Impr. Floch)";Bâ, Amadou Hampâté   Littérature peule   Tradition orale  et autres;;;Français;2-86869-734-8 ;9782868697349 ;
L'étrange destin de Wangrin ou les Roueries d'un interprète africain  ;Bâ , Amadou Hampâté ;L'étrange destin de Wangrin ou les Roueries d'un interprète africain [Texte imprimé] / Amadou Hampaté Bâ;"Bâ , Amadou Hampâté (Paris : Union générale d'éditions, cop. 1973 ;  59-Loos :  Impr. L.P.-F.L. Danel)";Afrique occidentale   Histoire ;"10-18 ; 785";;Français;;;
Le nouvel esprit scientifique  ;Bachelard , Gaston ;Le nouvel esprit scientifique [Texte imprimé] / Gaston Bachelard;Bachelard , Gaston (Paris : Presses universitaires de France, 1973);Philosophie des sciences ;Nouvelle encyclopédie philosophique;12ème éd.;Français;;;
Qu'est-ce que l'idéologie ? ;Baechler , Jean ;Qu'est-ce que l'idéologie ? / Jean Baechler;Baechler , Jean ([Paris] : Gallimard, DL 1976);Religion   Morale sociale   Idéologie  et autres;"Collection Idées . Philosophie ; 345";;Français;2-07-035345-1 ;9782070353453 ;
Q 3 und die hohe strasse  ;Baggesen , Jens ;Q 3 und die hohe strasse [Texte imprimé] / Jens Baggesen, Paul Schallück;Baggesen , Jens (Stierstadt : Eremitem-Presse, 1956);;;;Allemand;;;
Albert Camus, L'Étranger  ;Bagot , Françoise ;Albert Camus, L'Étranger [Texte imprimé] / par Françoise Bagot;"Bagot , Françoise (Paris : Presses universitaires de France, impr. 1993 ;  41-Vendôme :  Impr. des PUF)";"Camus, Albert (1913-1960) -- <<L&apos;>>étranger ";"Études littéraires ; 39";;Français;2-13-045084-9 ;9782130450849 ;
